feature_set,validation,rmse_log,mae,mape_pct,rank_correlation,chosen_alphas
baseline,nested_loocv_alpha_selection,0.7678,62253,77.6,0.754,3.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;3.0;3.0;3.0;3.0;1.0;1.0;0.1
compact_market_context,nested_loocv_alpha_selection,0.5853,63374,54.3,0.848,3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0
